,Cur. service,Title,Genre,Premiere,Seasons,Status,Language,Runtime,Prev. network(s),Episodes
0,Netflix,Stranger Things,Science fiction horror,2016-07-15 00:00:00,4,Continuing,,>60 min,,34
1,Netflix,The Crown,Historical drama,2016-11-04 00:00:00,5,Continuing,,<60 min,,50
2,Netflix,The Umbrella Academy,Superhero action,2019-02-15 00:00:00,3,Continuing,,<60 min,,30
3,Netflix,Virgin River,Romantic drama,2019-12-06 00:00:00,4,Continuing,,<60 min,,42
4,Netflix,The Witcher,Fantasy drama,2019-12-20 00:00:00,2,Continuing,,<60 min,,16
5,Netflix,Outer Banks,Coming-of-age drama,2020-04-15 00:00:00,2,Continuing,,<60 min,,20
6,Netflix,Sweet Magnolias,Romantic drama,2020-05-19 00:00:00,2,Continuing,,<60 min,,20
7,Netflix,Blood & Water,Teen drama,2020-05-20 00:00:00,3,Pending,,<60 min,,19
8,Netflix,Warrior Nun,Fantasy,2020-07-02 00:00:00,2,Pending,,<60 min,,18
9,Netflix,Ratched,Psychological thriller,2020-09-18 00:00:00,1,Continuing,,<60 min,,8
10,Netflix,Bridgerton,Historical romance,2020-12-25 00:00:00,2,Continuing,,>60 min,,16
11,Netflix,Firefly Lane,Drama,2021-02-03 00:00:00,1,Continuing,,<60 min,,10
12,Netflix,Ginny & Georgia,Coming-of-age drama,2021-02-24 00:00:00,1,Continuing,,<60 min,,10
13,Netflix,Shadow and Bone,Fantasy drama,2021-04-23 00:00:00,1,Continuing,,<60 min,,8
14,Netflix,Sweet Tooth,Fantasy drama,2021-06-04 00:00:00,1,Continuing,,<60 min,,8
15,Netflix,Sex/Life,Drama,2021-06-25 00:00:00,1,Continuing,,<60 min,,8
16,Netflix,Vikings: Valhalla,Historical drama,2022-02-25 00:00:00,1,Continuing,,<60 min,,8
17,Netflix,Savage Beauty,Drama,2022-05-12 00:00:00,1,Pending,,<60 min,,6
18,Netflix,The Lincoln Lawyer,Legal thriller,2022-05-13 00:00:00,1,Continuing,,<60 min,,10
19,Netflix,Country Queen,Drama,2022-07-15 00:00:00,1,Pending,,<60 min,,6
20,Netflix,Justice Served,Drama,2022-07-29 00:00:00,1,Pending,,<60 min,,6
21,Netflix,The Sandman,Fantasy,2022-08-05 00:00:00,1,Continuing,,<60 min,,11
22,Netflix,Heartbreak High,Teen drama,2022-09-14 00:00:00,1,Continuing,,<60 min,,8
23,Netflix,Monster,Crime drama,2022-09-21 00:00:00,1,Continuing,,<60 min,,10
24,Netflix,The Midnight Club,Teen horror drama,2022-10-07 00:00:00,1,Pending,,<60 min,,10
25,Netflix,The Watcher,Horror,2022-10-13 00:00:00,1,Continuing,,<60 min,,7
26,Netflix,Guillermo del Toro's Cabinet of Curiosities,Horror anthology,2022-10-25 00:00:00,1,Pending,,<60 min,,8
27,Netflix,The Bastard Son & The Devil Himself,Fantasy drama,2022-10-28 00:00:00,1,Pending,,<60 min,,8
28,Netflix,1899,Epic period mystery horror,2022-11-17 00:00:00,1,Pending,,<60 min,,8
29,Netflix,Far from Home,Coming-of-age drama,2022-12-16 00:00:00,Unknown,Pending,,Unknown,,Unknown
30,Netflix,The Recruit,Spy adventure,2022-12-16 00:00:00,1,Pending,,Unknown,,8
31,Netflix,The Witcher: Blood Origin,Fantasy drama miniseries,2022-12-25 00:00:00,1,Miniseries,,Unknown,,4
32,Netflix,Treason,Spy drama,2022-12-26 00:00:00,1,Miniseries,,Unknown,,5
33,Netflix,Kaleidoscope,Heist drama,2023-01-01 00:00:00,Unknown,Miniseries,,Unknown,,Unknown
34,Netflix,Lockwood & Co.,Supernatural detective thriller,2023-01-27 00:00:00,1,Pending,,Unknown,,8
35,Netflix,Sex Education,Comedy drama,2019-01-11 00:00:00,3,Continuing,,<60 min,,24
36,Netflix,Russian Doll,Comedy,2019-02-01 00:00:00,2,Pending,,<30 min,,15
37,Netflix,I Think You Should Leave with Tim Robinson,Sketch comedy,2019-04-23 00:00:00,2,Continuing,,<30 min,,12
38,Netflix,Never Have I Ever,Coming-of-age comedy drama,2020-04-27 00:00:00,3,Continuing,,<30 min,,30
39,Netflix,Emily in Paris,Comedy drama,2020-10-02 00:00:00,2,Continuing,,<60 min,,20
40,Netflix,How to Ruin Christmas,Comedy,2020-12-16 00:00:00,2,Continuing,,<60 min,,7
41,Netflix,The Upshaws,Sitcom,2021-05-12 00:00:00,2,Continuing,,<30 min,,18
42,Netflix,Hard Cell,Mockumentary,2022-04-12 00:00:00,1,Pending,,<30 min,,6
43,Netflix,The Pentaverate,Comedy,2022-05-05 00:00:00,1,Pending,,<30 min,,6
44,Netflix,God's Favorite Idiot,Workplace comedy,2022-06-15 00:00:00,1,Pending,,<30 min,,8
45,Netflix,Uncoupled,Comedy,2022-07-29 00:00:00,1,Pending,,<30 min,,8
46,Netflix,Chad and JT Go Deep,Comedy,2022-08-23 00:00:00,1,Pending,,<30 min,,6
47,Netflix,Mo,Comedy,2022-08-24 00:00:00,1,Pending,,<30 min,,8
48,Netflix,Blockbuster,Workplace comedy,2022-11-03 00:00:00,1,Pending,,<30 min,,10
49,Netflix,Wednesday,Horror comedy,2022-11-23 00:00:00,1,Pending,,<60 min,,8
50,Netflix,That '90s Show,Period teen sitcom,2023-01-19 00:00:00,Unknown,Pending,,Unknown,,Unknown
51,Netflix,The Last Bus,Science fiction,2022-04-01 00:00:00,1,Pending,,<60 min,,10
52,Netflix,Heartstopper,Teen drama,2022-04-22 00:00:00,1,Continuing,,<30 min,,8
53,Netflix,Man vs. Bee,Comedy,2022-06-24 00:00:00,1,Pending,,<30 min,,9
54,Netflix,Gymnastics Academy: A Second Chance!,Family drama,2022-09-16 00:00:00,1,Pending,,<30 min,,10
55,Netflix,Phantom Pups,Children's comedy,2022-09-30 00:00:00,1,Pending,,<30 min,,10
56,Netflix,Waffles + Mochi's Restaurant,Cooking/Educational,2022-10-17 00:00:00,1,Pending,,<30 min,,6
57,Netflix,Big Mouth,Coming-of-age comedy,2017-09-29 00:00:00,6,Continuing,English,<60 min,,61
58,Netflix,Paradise PD,Crime comedy,2018-08-31 00:00:00,3,Continuing,English,<30 min,,30
59,Netflix,"Love, Death & Robots",Anthology,2019-03-15 00:00:00,3,Continuing,English,<30 min,,35
60,Netflix,Chicago Party Aunt,Comedy,2021-09-17 00:00:00,1,Continuing,English,<30 min,,8
61,Netflix,Inside Job,Workplace comedy,2021-10-22 00:00:00,2,Continuing,English,<30 min,,18
62,Netflix,Human Resources,Comedy,2022-03-18 00:00:00,1,Continuing,English,<30 min,,10
63,Netflix,Farzar,Science-fiction comedy,2022-07-15 00:00:00,1,Pending,English,<30 min,,10
64,Netflix,Dragon Age: Absolution,Fantasy,2022-12-09 00:00:00,1,Pending,English,Unknown,,6
65,Netflix,Aggretsuko,Workplace comedy,2018-04-20 00:00:00,4,Continuing,Japanese,<30 min,,40
66,Netflix,Ultraman,Science fiction/Tokusatsu,2019-04-01 00:00:00,2,Continuing,Japanese,<30 min,,19
67,Netflix,Kengan Ashura,Martial arts,2019-07-31 00:00:00,2,Continuing,Japanese,<30 min,,24
68,Netflix,Ghost in the Shell: SAC_2045,Science fiction,2020-04-23 00:00:00,2,Pending,Japanese,<30 min,,24
69,Netflix,Blood of Zeus,Fantasy action,2020-10-27 00:00:00,1,Continuing,English,<60 min,,8
70,Netflix,Dota: Dragon's Blood,Dark fantasy action,2021-03-25 00:00:00,3,Pending,English,<30 min,,24
71,Netflix,The Way of the Househusband,Comedy,2021-04-08 00:00:00,1,Continuing,Japanese,<30 min,,10
72,Netflix,Record of Ragnarok,Action,2021-06-17 00:00:00,1,Continuing,Japanese,<30 min,,12
73,Netflix,Baki Hanma,Martial arts,2021-09-30 00:00:00,1,Continuing,Japanese,<30 min,,12
74,Netflix,Vampire in the Garden,Action drama,2022-05-16 00:00:00,1,Pending,Japanese,<30 min,,5
75,Netflix,Spriggan,Science fiction,2022-06-18 00:00:00,1,Pending,Japanese,<60 min,,6
76,Netflix,"Bastard!! -Heavy Metal, Dark Fantasy-",Dark fantasy,2022-06-30 00:00:00,1,Pending,Japanese,<30 min,,24
77,Netflix,Kakegurui Twin,Drama,2022-08-04 00:00:00,1,Pending,Japanese,<30 min,,6
78,Netflix,Tekken: Bloodline,Martial arts,2022-08-18 00:00:00,1,Pending,English,<30 min,,6
79,Netflix,Rilakkuma's Theme Park Adventure,Slice of life,2022-08-25 00:00:00,1,Pending,Japanese,<30 min,,8
80,Netflix,Bee and PuppyCat,Fantasy/Dramedy,2022-09-06 00:00:00,1,Pending,English,<30 min,,16
81,Netflix,Exception,Horror,2022-10-13 00:00:00,1,Pending,English,<60 min,,8
82,Netflix,Romantic Killer,Romantic comedy,2022-10-27 00:00:00,1,Pending,Japanese,<30 min,,12
83,Netflix,Lookism,Coming-of-age fantasy drama,2022-12-08 00:00:00,Unknown,Pending,Korean,Unknown,,Unknown
84,Netflix,Junji Ito Maniac: Japanese Tales of the Macabre,Horror anthology[73],2023-01-19 00:00:00,Unknown,Pending,Japanese,Unknown,,Unknown
85,Netflix,The Dragon Prince,,2018-09-14 00:00:00,4,Continuing,,<30 min,,36
86,Netflix,Hilda,,2018-09-21 00:00:00,2,Continuing,,<60 min,,26
87,Netflix,Charlie's Colorforms City,,2019-03-22 00:00:00,6,Pending,,<30 min,,34
88,Netflix,Mighty Express,,2020-09-22 00:00:00,7,Pending,,<30 min,,44
89,Netflix,Gabby's Dollhouse,,2021-01-05 00:00:00,6,Pending,,<30 min,,45
90,Netflix,"Go, Dog. Go!",,2021-01-26 00:00:00,3,Pending,,<30 min,,26
91,Netflix,Ridley Jones,,2021-07-13 00:00:00,4,Pending,,<30 min,,20
92,Netflix,Sharkdog,,2021-09-03 00:00:00,2,Pending,,<30 min,,14
93,Netflix,Octonauts: Above & Beyond,,2021-09-07 00:00:00,2,Pending,,<30 min,,26
94,Netflix,He-Man and the Masters of the Universe,,2021-09-16 00:00:00,3,Pending,,<30 min,,26
95,Netflix,"Ada Twist, Scientist",,2021-09-28 00:00:00,3,Pending,,<30 min,,20
96,Netflix,Karma's World,,2021-10-15 00:00:00,4,Pending,,<30 min,,40
97,Netflix,"StoryBots: Laugh, Learn, Sing",,2021-11-16 00:00:00,2,Pending,,<60 min,,4
98,Netflix,Dogs in Space,,2021-11-18 00:00:00,2,Pending,,<30 min,,20
99,Netflix,Action Pack,,2022-01-04 00:00:00,2,Pending,,<30 min,,16
100,Netflix,Angry Birds: Summer Madness,,2022-01-28 00:00:00,3,Pending,,<30 min,,36
101,Netflix,Team Zenko Go,,2022-03-15 00:00:00,2,Pending,,<30 min,,22
102,Netflix,Trivia Quest,,2022-04-01 00:00:00,1,Pending,,<30 min,,30
103,Netflix,The Creature Cases,,2022-04-12 00:00:00,2,Pending,,<30 min,,13
104,Netflix,Battle Kitty,,2022-04-19 00:00:00,1,Pending,,<60 min,,9
105,Netflix,Samurai Rabbit: The Usagi Chronicles,,2022-04-28 00:00:00,2,Pending,,<30 min,,20
106,Netflix,The Boss Baby: Back in the Crib,,2022-05-19 00:00:00,1,Pending,,<30 min,,12
107,Netflix,Sea of Love,,2022-05-23 00:00:00,1,Pending,,<30 min,,15
108,Netflix,My Little Pony: Make Your Mark,,2022-05-26 00:00:00,3,Pending,,<60 min,,10
109,Netflix,Dead End: Paranormal Park,,2022-06-16 00:00:00,2,Pending,,<30 min,,20
110,Netflix,Kung Fu Panda: The Dragon Knight,,2022-07-14 00:00:00,1,Pending,,<30 min,,11
111,Netflix,Big Tree City,,2022-08-01 00:00:00,1,Pending,,<30 min,,15
112,Netflix,Super Giant Robot Brothers,,2022-08-04 00:00:00,1,Pending,,<30 min,,10
113,Netflix,Deepa & Anoop,,2022-08-15 00:00:00,2,Pending,,<30 min,,18
114,Netflix,Oddballs,,2022-10-07 00:00:00,1,Pending,,<30 min,,12
115,Netflix,Spirit Rangers,,2022-10-10 00:00:00,1,Pending,,<30 min,,10
116,Netflix,Daniel Spellbound,,2022-10-27 00:00:00,1,Continuing,,<30 min,,10
117,Netflix,StoryBots: Answer Time,,2022-11-21 00:00:00,1,Pending,,<30 min,,10
